Name,Type
Антона Нивинського,вулиця
Олександра Васильєва,вулиця
Дмитра Такуна,вулиця
Бригадний,провулок
Віталія Стиби,вулиця
Боярка,вулиця
Тараса Козлишина,вулиця
Анатолія Грицая,вулиця
Василя Авраменка,вулиця
Віталія Магеля,вулиця
Гурія Бухала,вулиця
Тютюнника,вулиця
Вінницький,провулок
Андрія Лайка,вулиця
Василя Червонія,вулиця
Петра Обаля,вулиця
Євгена Петрушевича,вулиця
Олекси Бобикевича,вулиця
Олекси Новака,вулиця
Миколи Карнаухова,вулиця
Дворецька,вулиця
16 Липня,вулиця
Степана Васильченка,вулиця
Олександра Борисенка,вулиця
Нижньодворецька,вулиця
Малорівненська,вулиця
Гавриїла Зелінського,провулок
Кущівська,вулиця
Бориса Джонсона,вулиця
Решкутянська,вулиця
Технікумівська,вулиця
Гавришів Кут,вулиця
Глодянська,вулиця
Сергія Рижука,вулиця
Видумка,вулиця
Пересопницька,вулиця
Мойсея Базіна,вулиця
Ґрунтова,вулиця
Володимира Сальського,вулиця
Козяцька,вулиця
Долинянська,вулиця
Адмірала Федора Ушакова,вулиця
Базавлуцький,провулок
Кальміуський,провулок
Оршанської Перемоги,вулиця
Архітектора Бургіньйона,вулиця
Грабник,вулиця
Грабовецька,вулиця
Хмільна,вулиця
Гарна,вулиця
Степана Демʼянчука,вулиця
Райдужний,провулок
Валерія Опанасюка,вулиця
Олександра Храпаченка,вулиця
Зофоре,вулиця
Дворецький,провулок
2 Слобідська,вулиця
Шахтобудівників,вулиця
Радіщева,вулиця
30-го Січня,вулиця
Підвільшанська,вулиця
Корецька,вулиця
Автоливмашівська,вулиця
Степана Ленкавського,вулиця
Шумлявщина,вулиця
Шконди,вулиця
Марії Ростковської,вулиця
Досвітня,вулиця
Скреперна,вулиця
Українських Добровольчих Батальйонів,вулиця
Свято-Володимирська,вулиця
Географічна,вулиця
Грозова,вулиця
227-го Автомобільного Батальйону,вулиця
Севанська,вулиця
Зимовського,вулиця
Джона Юза,вулиця
1-й Офіцерський,провулок
2-й Офіцерський,провулок
Ярощука,вулиця
Нестора Літописця,вулиця
Соняшниковий,провулок
Духовська,вулиця
Караванська,вулиця
Джерелянська,вулиця
Мюдовська,вулиця
Бєляєвська,вулиця
Гризодубової,провулок
Мельнична,вулиця
Сергія Пивоварова,провулок
Проселищний,в'їзд
Андрія Салова,провулок
Гіївська,вулиця
Проселищна,вулиця
Бабаєвський,провулок
Мереф'янський,провулок
Слюсарна,вулиця
Кузьми Безкровного,провулок
Мельничний,провулок
Мереф'янська,вулиця
Мар’янівський,провулок
Почаївська,вулиця
Мар’янівська,вулиця
Гавенка,вулиця
Р. Тичинського,вулиця
Низька,вулиця
Радьківська,вулиця
Сахарова,вулиця
Карнетівська,вулиця
Шовковиць,вулиця
Якима Погрібняка,вулиця
Нетеченська,вулиця
Шорниківська,вулиця
Віктора Рафальського,провулок
Підзамче,вулиця
17 Вересня,вулиця
Артема Костирі,вулиця
Четвертий,провулок
Гриненка,вулиця
Освітянська,вулиця
Кремінського,провулок
Сердитова,вулиця
Тараса Шевченко,вулиця
Дубрівська,вулиця
Вітряного,вулиця
Бірківська,вулиця
Чигрина,вулиця
Набережно-Дніпровська,вулиця
Ожинова,вулиця
Каневська,вулиця
Білого Спаса,вулиця
Клешканя,вулиця
Анни Валентинович,вулиця
Саймона Сміта,вулиця
Мощунська,вулиця
Богдана,вулиця
Дзвінкова,вулиця
Володимира Хомича,вулиця
Гуреєва,вулиця
Стовбова,вулиця
Фастова,вулиця
Соняшна,вулиця
Єрка,вулиця
Юрія Логвиненка,вулиця
Миколи Шудрука,вулиця
2-га Продольна,вулиця
3-тя Поперечна,вулиця
1-ша Продольна,вулиця
4-та Поперечна,вулиця
Преображенського,провулок
Мітова,вулиця
Крикуненко,вулиця
Платона Симиренка,провулок
Гнезненського Повіту,вулиця
13-та Садова,вулиця
50-річчя Жовтня,вулиця
Стародубівська,вулиця
Ірпінський,узвіз
Сосніних,вулиця
Сергія Лук'янчука,вулиця
Маршала Гречка,вулиця
Верхньосадова,вулиця
Ковшевацького,вулиця
Овчаренка,вулиця
Чайки,вулиця
Кудрявцева,вулиця
4-та Оріон,вулиця
2-га Оріон,вулиця
1-ша Оріон,вулиця
3-тя Оріон,вулиця
Михайленка,вулиця
Кравця,вулиця
Шепетівський,провулок
Ілони Куровської,вулиця
Старософіївська,вулиця
Федора Сумневича,вулиця
Академіка Івана Павлова,вулиця
Кочетова,провулок
Героев Десантников,проспект
Донбаська,вулиця
Максима Горького,вулиця
Обушенка,вулиця
Солов'їний,провулок
Олександра Можайського,провулок
Вільховий,провулок
Кулінкова,вулиця
Колгоспний,провулок
Миколи Гастелло,вулиця
Підвільшанський,провулок
Підборний,провулок
Чкалова Валерія,вулиця
Шахтний,провулок
Дранева,вулиця
Зіркова,вулиця
Сєдого,провулок
Федора Ушакова,провулок
Павловський,провулок
Сосновий Гай,вулиця
Яружний,провулок
Паризької комуни,вулиця
Костянтина Запорожця,провулок
Лізи Чайкіної,вулиця
3-я Першотравнева,вулиця
Михайла Ломоносова,провулок
Суржана,провулок
2-й Михайла Ломоносова,провулок
Адмірала Павла Нахімова,провулок
Кондратія Рилєєва,вулиця
Джерелянський,провулок
Федора Балавенського,в'їзд
Рябіновий,в'їзд
Салтівський,провулок
Ревчанська,вулиця
Дуншівська,вулиця
Борівський,в'їзд
Гребельний,провулок
Дуншівський,провулок
Героїв-Афганців,провулок
Куп'янський,в'їзд
Шкільний Схил,узвіз
Бібліотечний,провулок
Павла Гудима,вулиця
Заможній,провулок
Санітарний,провулок
Василя Данилевського,провулок
Грибоєдова,вулиця
Оранжерейний,провулок
92-ої Бригади імені Івана Сірка,в'їзд
Каманіна,вулиця
Дунаєвського,в'їзд
Академіка Барабашова,вулиця
Водянська,вулиця
Холодногірський,провулок
2-й Петра Сагайдачного,провулок
Осмомисла,вулиця
Гейне,вулиця
Ольхова,вулиця
Олега Білаша,вулиця
Перебудівна,вулиця
Сергія Мазіна,вулиця
Миколи Носова,вулиця
11-й,провулок
Стешенка,провулок
Зєрова,вулиця
Хризантем,вулиця
Агротехнічна,вулиця
Сапегіна,вулиця
Тимірязєва,вулиця
Холодного,вулиця
Дружба,вулиця
Мира,проспект
Кизима,вулиця
Підстепова,вулиця
Анатолія Солов'яненка,вулиця
Підстеповий,провулок
Волгодонська,вулиця
Слобжанський,провулок
Василя Сагана,вулиця
Карпова,проспект
Воля,вулиця
Князя Давида Святославича,вулиця
Демʼяна Ігнатовича,вулиця
Дивногорська,вулиця
Яровський,провулок
Слов'янська,вулиця
Широнінців,вулиця
Бурлаченка,вулиця
Городнича,вулиця
Лучна,вулиця
Гострянська,вулиця
Екологічна,вулиця
Гаврилівська,вулиця
Надточиївська,вулиця
Муховатська,вулиця
Волошковий,провулок
Макєєва,в'їзд
Кузьмічова,вулиця
Оксамитна,вулиця
Зернобазівська,вулиця
С. Коваля,вулиця
Кропивницька,вулиця
Загребельний,провулок
Сергія Ярмака,вулиця
Юшкова,вулиця
Культурний,провулок
Височанська,вулиця
Зоря Комунізму,вулиця
Спортсменів,вулиця
Холмогорська,вулиця
Олександра Пушкіна,вулиця
Корецький,провулок
Сергія Закори,вулиця
Воропаєва,провулок
Кудрява,вулиця
Олега Кошевого,вулиця
Овочева,вулиця
Конопельця,вулиця
Великоновосілківська,вулиця
Ізотова,вулиця
Дмитра Козака,вулиця
Єрмолая Жукова,вулиця
Познанська,вулиця
Моспинська,вулиця
Тютчева,вулиця
Казанової,вулиця
Барабінський,провулок
Борисоглєбська,вулиця
Урюпинська,вулиця
Відвідний,провулок
Щербакова,вулиця
Берві,вулиця
Покровського,вулиця
Городецька,вулиця
Кучука,вулиця
Архангельська,вулиця
Усть-Каменогорська,вулиця
Російська,вулиця
Новолуганська,вулиця
Самойлова,вулиця
Жилуновича,вулиця
Вапнярська,вулиця
Челюскінцев,вулиця
Журавського,провулок
Халтуріна,вулиця
Новостаробільська,вулиця
Українських десантників,вулиця
Янки Купали,вулиця
Житлкоопівська,вулиця
КІМа,вулиця
Яноніса,вулиця
Чистопільська,вулиця
Фелікса,вулиця
Вербоноля,вулиця
Бадаєва,провулок
Героїв Панфіловців,вулиця
Генерала Миколи Пухова,вулиця
Куусінена,провулок
Златопразький,провулок
Ползунова,провулок
Діккенса,вулиця
Батенка,вулиця
Світлоградська,вулиця
Чистякової,вулиця
Акмолинська,вулиця
Красноуральска,вулиця
Приходька,вулиця
Відінський,провулок
2-й Садової,провулок
Остравська,вулиця
Братів Лузанів,вулиця
3-й Миру,провулок
Гірників,вулиця
Шлакова,вулиця
Сонячногірська,вулиця
Южна,вулиця
Пашкової,вулиця
Вугільників,вулиця
10-го Лютого,вулиця
Внуковська,вулиця
Осетинський,провулок
Мала Набережна,вулиця
Суздальська,вулиця
Кучумова,вулиця
Камазівська,вулиця
Калашникова,вулиця
8-го Марта,вулиця
Знаменна,вулиця
Академіка Губкіна,вулиця
Хасанівська,вулиця
Балашевський,провулок
Руслана Шимона,вулиця
Мусоргського,вулиця
Лейтенантів,вулиця
Раєвського,вулиця
Тихвинська,вулиця
Нижньоновгородська,вулиця
Протонівська,вулиця
Владивостоцька,вулиця
Магаданська,вулиця
Ноябрьска,вулиця
Гжатська,вулиця
Загорського,вулиця
Новікова-Прибоя,вулиця
Булавіна,вулиця
Солікамська,вулиця
Каракумська,вулиця
Асєєва,вулиця
Пермська,вулиця
Горна,вулиця
Дубівка,вулиця
Бічна Садова,вулиця
Привільна,вулиця
Волховбуду,вулиця
Оршанська,вулиця
Задонська,вулиця
Ежена Потьє,вулиця
Отчізни,вулиця
Трударів,вулиця
Труженіков,вулиця
Іскри,вулиця
Нижньоамурська,вулиця
Классона,вулиця
Майкопська,вулиця
Засулич,вулиця
Ставропольська,вулиця
Барбюса,вулиця
Нечаєва,вулиця
Єрофія Миргородського,вулиця
Сергія Борткевича,провулок
Володимира Свідзінського,вулиця
Якима Погребняка,вулиця
Мірошниченка,вулиця
Гумовиків,вулиця
Петренківська,вулиця
Ріпківська,вулиця
Ветеранів Праці,вулиця
Ткалівська,вулиця
Совівська,вулиця
Остапа Бутенка,вулиця
Успенсько-Троїцька,вулиця
Морської піхоти,вулиця
Андрія Божка,вулиця
Металіста,провулок
Тюрінський,узвіз
Никонівська,вулиця
Коростельська,вулиця
Сестрорецька,вулиця
XIX Партз’їзду,вулиця
Вологодська,вулиця
Мосіна,вулиця
Замоскворічна,вулиця
Баканова,вулиця
Торпедна,вулиця
Едварда Ґріґа,вулиця
Міллерівська,вулиця
Острогорського,вулиця
Радченка,вулиця
Оленчука,вулиця
Юона,вулиця
Шишкова,вулиця
Лазника,вулиця
Тинянова,вулиця
Камо,вулиця
Шулейкіна,вулиця
Азіна,вулиця
Коненкова,вулиця
Краснопольська,вулиця
Мацегори,вулиця
Усольська,вулиця
Чутівська,вулиця
Бучанський,в'їзд
Віктора Френчка,вулиця
Олексія Хижняка,вулиця
Юрія Бутусова,вулиця
Івана Олінського,вулиця
Станіслава Майсєєва,вулиця
Терентія Уманського,провулок
Гулого-Гуленка,провулок
Олександра Олійника,вулиця
Габдрахманова,вулиця
Ініціативний,провулок
Миколи Федоровського,вулиця
Валерія Гончаренка,вулиця
1-й Радіальний,провулок
Громадівців,провулок
2-й Радіальний,провулок
Руслана Слободянюка,вулиця
Віктора Чміленка,вулиця
Ігоря Замоцького,вулиця
Тараса Карпи,вулиця
Автолюбителів,вулиця
Верхня Биковська,вулиця
Районна,вулиця
Олега Паршутіна,вулиця
Мозеса Гомберга,вулиця
Повітрянофлотський,провулок
Степняка-Кравчинського,вулиця
Інженерів,проспект
Грецький,провулок
Великовисківський,провулок
3-й Госпітальний,провулок
Зеленбудівська,вулиця
Загоскіна,вулиця
Охотська,вулиця
Кулібіна,вулиця
Майора Міцули,вулиця
Нікітовська,вулиця
Івана Похитонова,вулиця
Трикутна,вулиця
Левадний,провулок
Лобановського,провулок
Лозівський,провулок
Грушевська,вулиця
Бородинівський,провулок
Данила Дідіка,провулок
Героїв-розвідників,вулиця
Кульчинського,провулок
Миколи Хвильоваого,вулиця
Кортунова,вулиця
Ванникова,вулиця
Олексія Волохова,провулок
Івана Гончара,провулок
Перегонівська,вулиця
Родини Юхнелів,вулиця
Леоніда Фільштейна,вулиця
2-й Госпітальний,провулок
Обривний,провулок
Рівненський,провулок
Миргородський,провулок
Павла Рябкова,вулиця
Канатівська,вулиця
2-й Якова Степового,провулок
Веніаміна Іліуци,провулок
1-й Сочинський,провулок
3-й Якова Степового,провулок
3-й Горіхівський,провулок
Сочинська,вулиця
5-й Горіхівський,провулок
Ленківська,вулиця
Плосківська,вулиця
Білостоцька,вулиця
Глинницька,вулиця
Плосківський,провулок
Віктора Редькина,вулиця
Іванківська,вулиця
2-й Горіхівський,провулок
Глибоцький,провулок
4-й Горіхівський,провулок
2-й Сочинський,провулок
Архітектора Паученка,вулиця
Лінника,вулиця
Перша Виставкова,вулиця
103-тя Садова,вулиця
Тімірязєва К.,вулиця
Волзький,провулок
Погодіна,вулиця
Корольової,вулиця
Дар’яльська,вулиця
Інженера Сукача,вулиця
Пашенної,вулиця
Чекаліна,вулиця
Саврасова,вулиця
Овсянникова,вулиця
Фрунзенська,вулиця
Набережна Ротерхема,вулиця
Новосхідна,вулиця
Шлаковий,провулок
Купоросна,вулиця
Нове життя,вулиця
Атласна,вулиця
Новосхідний,провулок
Бахмутський,провулок
Яруцького,вулиця
Живописний,провулок
Тарасова,вулиця
Резервуарна,вулиця
Годовикова,вулиця
Овальна,вулиця
Ракетний,провулок
Новгородський,провулок
Меліораторів,вулиця
Громової,вулиця
Яковенко,вулиця
Героїв Пожежників,вулиця
Друга Слободка,вулиця
Нижні Аджахи,вулиця
Домахи,вулиця
Мар'їнська,вулиця
Леніногорський,провулок
Уссурійська,вулиця
Буревісника,вулиця
Електромеханічна,вулиця
Волоколамська,вулиця
Кронштадтська,вулиця
Мудрова,провулок
Дороніна,вулиця
Низамі,вулиця
Аросєва,вулиця
Венеціанова,вулиця
Авєріна,вулиця
Лідіївська,вулиця
Даурська,вулиця
Коротченка,вулиця
Норильська,вулиця
Зарипова,вулиця
5-й провулок Ніжинської,вулиця
Гончарний,провулок
Кароліни Сибанської,вулиця
3-й Варшавський,провулок
Серафимовича,вулиця
Святителя-хірурга Луки,вулиця
Федора Блудова,вулиця
Марії Феньвеші,вулиця
Миколи Духова,вулиця
Талалихіна,вулиця
Вахтангова,провулок
Андрія Шестакова,провулок
Мартовська,вулиця
Дослідницька,вулиця
Землячки,провулок
Велика Токмацька,вулиця
Зеленбуд,вулиця
Мещерського,вулиця
Клавдії Назарової,вулиця
Райська,вулиця
Удмуртська,вулиця
Ревпуті,вулиця
Касаткіна,вулиця
Світлоярська,вулиця
Заполярна,вулиця
Сліпньова,вулиця
Баштанська,вулиця
Гамалія,вулиця
Південно-Східна,вулиця
Володимира Ложешнікова,вулиця
Трактористов,бульвар
Оксани Лятуринської,вулиця
Федора Медвєдєва,вулиця
Князя Вітовта,вулиця
Нацгвардійська,вулиця
Іваницького,проспект
Южногорняцька,вулиця
Красна Зоря,вулиця
Айлантова,вулиця
Юридична,вулиця
Тухачевського,вулиця
Трубопрокатна,вулиця
Олександра Коротченка,вулиця
8-ї Повітряно-Десантної Дивізії,вулиця
Академіка Миколи Зелінського,вулиця
Ернеста Гемінгвея,вулиця
Академіка Миколи Амосова,вулиця
Парфентія Гречаного,вулиця
Леоніда Федорова,вулиця
Верешморті,вулиця
Андрія Чернецького,вулиця
Ромська,вулиця
Районний Бульвар,вулиця
Карабінерна,вулиця
Водяний,провулок
Леоніда Куценка,вулиця
Селецький,провулок
Тевосяна,вулиця
Богучарського,вулиця
Краснооктябрьська,вулиця
Станіславського,вулиця
Жені Кийкової,вулиця
Віктора Баталіна,вулиця
Павла Дришлюка,вулиця
Степана Криворученка,вулиця
Шелестівка,вулиця
Яцютівка,вулиця
Ганни Берло,вулиця
Бахматівка,вулиця
Бондарівка,вулиця
Севастяна,вулиця
Дубичанська,вулиця
2-й Альтинський,провулок
Григора Тютюнника,вулиця
Данила Амеліна,вулиця
Дубичанський,провулок
Лисичівка,вулиця
Сергія Оврашка,вулиця
Йовівка,вулиця
Альтинська,вулиця
Олексія Потапенка,вулиця
Горбатюка,вулиця
Пречистенська,вулиця
Котеджна,вулиця
Гмирі,вулиця
Зірненська,вулиця
Олексинська,вулиця
Золотіївська,вулиця
Боженова,вулиця
Героїв-Рятувальників,вулиця
Красильникова,вулиця
Курганська,вулиця
Самолюка,вулиця
Шпудейка,вулиця
Загребельна,вулиця
бічна Українки,вулиця
Бічна Словʼянська,вулиця
Замонастирська,вулиця
Якуба Путняну,вулиця
Кулика і Гудачека,вулиця
Липовенка,вулиця
Володимира Дмитришина,вулиця
Федора Коновалюка,вулиця
Вугринівська,вулиця
Аверіна,провулок
Підволочиське,шосе
Андрія Шпаковського,вулиця
1-й В'ячеслава Чорновола,провулок
Соколівська,вулиця
Валі Котика,вулиця
Мазурівська,вулиця
Забужжя,вулиця
Бистрицького,вулиця
Порика,вулиця
Лугівська,вулиця
1-й Карпатський,проїзд
Мергельна,вулиця
Артельна,вулиця
Каспіровича,вулиця
Кленовий,провулок
Спеціалістів,вулиця
Поліщука,вулиця
Якуба Гофмана,вулиця
Кузнєцова,вулиця
Олега Тарасюка,вулиця
Корнинська,вулиця
Смотрицького,вулиця
Героїв Берестечка,вулиця
Вротновських,вулиця
Веремчука,вулиця
Героя України Степана Бандери,вулиця
Бічна Гайова,вулиця
Сніжний,провулок
Ганни Шупенко,вулиця
Агеєнка,вулиця
Заїзджа,вулиця
Олександрійське,шосе
Степана Рудницького,вулиця
Івана Носаля,вулиця
Граничний,провулок
Б. Возницького,вулиця
Врубова,вулиця
Юнокомунарівська,вулиця
Забойщiков,вулиця
Єнакієвська,вулиця
Бонч-Бруєвича,вулиця
Партизанів Донбасу,вулиця
Скоблова,вулиця
Полікарпова,вулиця
Бєлгородська,вулиця
Мануїльського,вулиця
1-а Крейдова,вулиця
Єліна,вулиця
Висотна,вулиця
Таллінська,вулиця
2-а Крейдова,вулиця
Північноморська,вулиця
Табунова,вулиця
Миколи Левитського,вулиця
Ігіта Гаспаряна,вулиця
5-та Слобідська,вулиця
Павла Пащевського,вулиця
Джека Лондона,вулиця
Гулевич,вулиця
Волинської Дивізії,вулиця
Лучинського,вулиця
Заветна,вулиця
Невського,вулиця
Льоні Голікова,вулиця
Янісольська,вулиця
Червоний Маяк,вулиця
Косинського,вулиця
Цехова,вулиця
Світ Октября,вулиця
Краснооктябрьска,вулиця
Сентябрьска,вулиця
Заовражна,вулиця
Іртиська,вулиця
Панферова,вулиця
Апрельська,вулиця
Родінська,вулиця
Цвiточна,вулиця
Ногіна,вулиця
Таврічна,вулиця
Iюньска,вулиця
Волгіна,вулиця
Баранникова,вулиця
Плещєєва,вулиця
Костромська,вулиця
Чаадаєва,вулиця
Старокримська,вулиця
Полинова,вулиця
Голубицького,вулиця
Холмиста,вулиця
Старооскольська,вулиця
Рум’янцева,вулиця
Баркова,вулиця
Житкова,вулиця
Краєзнавча,вулиця
Петлякова,вулиця
Дня Шахтаря,вулиця
Наклонна,вулиця
Насонова,вулиця
Краснопролетарська,вулиця
Розкішна,вулиця
Вільямса,вулиця
Одинця,вулиця
Гірняцька,вулиця
Молодогвардійців,вулиця
Валерія Чкалова,вулиця
Олени Журливої,вулиця
21 Вересня,вулиця
Туркестанський,провулок
Празький,провулок
Хорватський,проїзд
Братиславський,провулок
Новогорянська,вулиця
Станичний,провулок
Малопрохожанська,вулиця
Володимира Дрозда,вулиця
1-ша Кордівка,вулиця
Іллі Шрага,вулиця
Дерманська,вулиця
Біляшівського,вулиця
Хліборобів,вулиця
Новодвірська,вулиця
Воїнів Інтернаціоналістів,вулиця
Олексія Романчука,вулиця
Шпанівська,вулиця
Фізична,вулиця
Серпанкова,вулиця
Свєшнікова,вулиця
Веделя,вулиця
Тараса Давидюка,вулиця
Польна,вулиця
Миколи Негребецького,вулиця
Снігурівська,вулиця
Ампера,провулок
Чикірисова,вулиця
Муравйова,вулиця
Прокатників,вулиця
Мукомельна,вулиця
2-а Олександрівка,вулиця
6-а Олександрівка,вулиця
Аптечний,провулок
МТС,вулиця
Фортечний,узвіз
Карпінського,вулиця
Сивашська,вулиця
Макара Мазая,вулиця
Пеєвої,вулиця
Олександра Маньковського,вулиця
Петра Пояркова,вулиця
Всеволода Головчанського,вулиця
Єфросинії Зарницької,вулиця
Анатолія Дашевського,провулок
Добросусідська,вулиця
Мстислава Великого,вулиця
Маршальська,вулиця
Оваднівська,вулиця
Тираспольський,провулок
Береславський,тупик
Аджамський,провулок
Верхній Степовий,провулок
Криничуватий,провулок
Байгородська,вулиця
Піший,провулок
Галушкіна,вулиця
Ананіївський,провулок
Аврамівський,провулок
Біанський,тупик
Олексія Хміля,вулиця
А. Комка,вулиця
Беркоса,вулиця
Арістотеля,вулиця
Надєждинська,вулиця
Болотникова,вулиця
Балакліївська,вулиця
Святковий,провулок
Нагорная,вулиця
Ляпіна,вулиця
Красногорскій,провулок
Рабкоровська,вулиця
Сергія Ярмоленка,вулиця
Володимира Коваленка,вулиця
Екатериненская,дорога
Михалевича,вулиця
Народного Руху,вулиця
Олександра Корнієвського,вулиця
Транзитний,провулок
Стародубського Полку,вулиця
Верені,вулиця
Князя Чорного,вулиця
Старобілоуська,вулиця
11-та Лінія,вулиця
10-та Лінія,вулиця
Наталії Околітенко,вулиця
74-ї Стрілецької Дивізії,вулиця
Новозаводська,вулиця
Водників,вулиця
Вирового,провулок
Азовсталі,вулиця
Ясельна,вулиця
Просвітянська,вулиця
Каразінський,провулок
Новозаводський,провулок
Євгена Вирового,вулиця
Вільхового Лісу,вулиця
Соляний,провулок
Циклічна,вулиця
Старонікольська,вулиця
Трудшкільна,вулиця
Столярна,вулиця
Валерії Джулай,вулиця
Кочерги,вулиця
Івана Ремболовича,вулиця
2-й Відпочинку,провулок
Василя Хижнякова,вулиця
2-й Тракторний,провулок
1-й Відпочинку,провулок
Кривулевська,вулиця
Аркадія Верзілова,вулиця
Тролейбусний,провулок
Михайла Комочкова,вулиця
Сергія Востришева,вулиця
Сунична,вулиця
Академіка Рапопорта,вулиця
9-та Лінія садівниче товариство Ветеран,лінія
Балицького,вулиця
10-та Лінія садівниче товариство Ветеран,лінія
Спасська,вулиця
Свято-Ільїнська,вулиця
Полковника Лазуренка,провулок
Макова,вулиця
Медівська,вулиця
Балаклавська,вулиця
Гульдівська,вулиця
Шитова,вулиця
Дмитра Самоквасова,вулиця
Задорожна,вулиця
Старопосадська,вулиця
2-й Полубудкіна,провулок
Яреми,вулиця
Продольна,вулиця
Юрія Степанюка,вулиця
Олексія Зіновʼєва,вулиця
Продольний,провулок
Євгена Гуцала,вулиця
Липовецький,проїзд
1-й Полубудкіна,провулок
Василя Сильвестрова,вулиця
1-й Гайдамацький,провулок
Добрий,провулок
1-й Івана Хоменка,провулок
Івана Хоменка,вулиця
2-й Івана Хоменка,провулок
3-й Чумацький,провулок
3-й Антона Турчановича,провулок
1-й Тропініна,провулок
2-й Чумацький,провулок
1-й Антона Турчановича,провулок
2-й Антона Турчановича,провулок
1-й Леся Курбаса,провулок
Антона Турчановича,вулиця
2-й Трублаїні,провулок
1-й Трублаїні,провулок
2-й Тропініна,провулок
Петра Волинця,вулиця
1-й Гната Юри,проїзд
Андрія Сулими,вулиця
Віталія Колодія,вулиця
Андрія Антонюка,вулиця
Академіка Сергія Корольова,вулиця
Панський,в'їзд
3-й Прирічковий,провулок
Прирічкова,вулиця
Олександра Гурова,вулиця
Прогресивний,провулок
3-й Немишлянський,в'їзд
Олександра Плітаса,в'їзд
Володимира Липського,вулиця
Богопільська,вулиця
Синеводська,вулиця
Кущова,вулиця
Гійома Левассера де Боплана,провулок
Княжий,провулок
Водопійний,провулок
Андрія Андрєєва,вулиця
Овсія Гончара,вулиця
Федіра Черника,вулиця
Миколи Загаєвича,вулиця
Ольги Косовської,проспект
Леоніда Барановського,вулиця
Марії Крюковської,вулиця
Семена Калабаліна,вулиця
Ново-Фастівська,вулиця
Червоних Троянд,вулиця
Буйка,вулиця
Ново-Вокзальна,вулиця
Олександра Свірського,вулиця
Крайового,вулиця
Соколова,вулиця
Іванкова,вулиця
Ішимська,вулиця
Алимова,провулок
Малий Садовий,провулок
Славутицька,вулиця
Льговська,вулиця
Мочалова,вулиця
Коломийський,провулок
Адміралтейська,площа
Галини Петрової,вулиця
Олега Григорʼєва,вулиця
7-ма Поперечна,вулиця
1-ша Інгульська,вулиця
2-га Воєнна,вулиця
Купорна,вулиця
Забарівський,провулок
Куренівка,вулиця
Просторна,вулиця
Переселенців,вулиця
Малинна,вулиця
Андрія Карнабіди,провулок
Джузеппе Гарібальді,вулиця
Куліша,вулиця
Запрудна,вулиця
Висоцького,вулиця
2-й Зарічний,провулок
Олексія Бакуринського,вулиця
Коробкова,бульвар
Старшинова,бульвар
Іштвана Сечені,вулиця
Озірна,вулиця
Печиборща,вулиця
Ходюка,вулиця
Колективістів,вулиця
Гусаківська,вулиця
Ігоря Михайлина,вулиця
Задніпровська Гавань,вулиця
Чавуноливарна,вулиця
Широківська,вулиця
Балка Червона,вулиця
Зеленогайський,проспект
Бруно,вулиця
Дмитра Горбачіва,вулиця
Сергія Шерстюка,вулиця
Солона Балка,вулиця
Миклухо-Маклая,вулиця
Південнобузька,вулиця
Старослов'янська,вулиця
Мармурова,вулиця
Тетяни Воронової,вулиця
Малова,вулиця
Трудівників,вулиця
Хороводна,вулиця
Брунькова,вулиця
Чернієнка,вулиця
Героїнь,вулиця
Памʼяті Героїв,вулиця
Коксохімівська,вулиця
Євгена Тищенка,вулиця
Сосницька,вулиця
Святославовичів,вулиця
Ніщинського,вулиця
Вахи Арсанова,вулиця
Немировича-Данченка,вулиця
Ладигіна,вулиця
Зернорадгоспна,вулиця
Ейзенштейна,вулиця
Вʼячеслава Радченка,вулиця
Коробка,вулиця
Анатолія Погрібного,вулиця
Івана Золотаренка,вулиця
Володимира Глинського,вулиця
Коти,вулиця
Старобілоуський,провулок
Проїзна,вулиця
Опішнянська,вулиця
Євгенія Саєнка,вулиця
Батьківщини,вулиця
Кавова,вулиця
Щоголева,вулиця
Рідна,вулиця
Пшеничний,провулок
Вольтера,вулиця
Добрянська,вулиця
Масанівська,вулиця
Володимирівська,вулиця
Чеченська,вулиця
Володимира Неговського,вулиця
Гербова,вулиця
Колійна,вулиця
Чорнобривців,вулиця
Острова Зміїного,вулиця
Романа Краковецького,вулиця
Зразковий,провулок
Утова,вулиця
Верхня Успенська,вулиця
Купальний,узвіз
Остряниці Якова,вулиця
Подусівська,вулиця
Подусівський,провулок
Олегове Поле,вулиця
Федора Уманця,вулиця
Пласту,вулиця
Олександра Тищинського,вулиця
2-й Енергетиків,проїзд
Благовлаштована,вулиця
Ольговичів,вулиця
Уставна,вулиця
Мальв,вулиця
Весела Дача,вулиця
Ханів Ґераїв,вулиця
Олени Алексєєвої,вулиця
Усть-Каменогірська,вулиця
Петра Яцика,вулиця
Білих Акацій,вулиця
Авторська,вулиця
Сумова,вулиця
І. Франка,вулиця
Володимира Клоноза,вулиця
Баженова,вулиця
Златоустівська,вулиця
Таганська,вулиця
Пристанційна,вулиця
Клайпедська,вулиця
Дніпрової Чайки,вулиця
Читачів,вулиця
Шаянська,вулиця
Григора Крука,вулиця
Груні Романової,вулиця
Промениста,вулиця
Сергія Іваненка,провулок
Української Повстанської Армії,вулиця
Братів Тютюнників,вулиця
Михайла Фісуна,вулиця
Новозапорізька,вулиця
Розсошинський,провулок
Полтавської Тероборони,вулиця
Підйомний,провулок
Олександра Горячевського,провулок
Дмитра Соловʼя,вулиця
